TF	TFAs Ave.(E)_A375	TFAs Ave.(IE)_A375	TTS_A375	p_val_A375	FDR_A375	negLog10_FDR_A375	TFAs Ave.(E)_HT29	TFAs Ave.(IE)_HT29	TTS_HT29	p_val_HT29	FDR_HT29	negLog10_FDR_HT29	TTS_SUM
TCFL5	0.396	0.074	3.291	1.140e-03	7.147e-01	0.146	0.230	-0.018	2.083	3.946e-02	1.000e+00	-0.000	5.374
GLI2	0.039	-0.200	2.585	1.032e-02	1.000e+00	-0.000	0.241	-0.121	2.783	6.291e-03	1.000e+00	-0.000	5.368
UHRF1	0.453	0.115	3.543	4.870e-04	3.053e-01	0.515	0.205	0.034	1.782	7.726e-02	1.000e+00	-0.000	5.325
KLF3	0.423	0.166	2.490	1.341e-02	1.000e+00	-0.000	0.087	-0.230	2.798	5.909e-03	1.000e+00	-0.000	5.288
DR1	0.390	0.025	4.710	4.124e-06	2.586e-03	2.587	-0.165	-0.216	0.520	6.039e-01	1.000e+00	-0.000	5.230
ING2	0.281	-0.063	4.239	3.013e-05	1.889e-02	1.724	0.124	0.029	0.947	3.456e-01	1.000e+00	-0.000	5.186
VDR	0.660	0.301	3.988	9.335e-05	5.853e-02	1.233	0.354	0.225	1.190	2.365e-01	1.000e+00	-0.000	5.178
DBP	0.121	-0.105	2.842	4.834e-03	1.000e+00	-0.000	0.294	0.087	2.305	2.281e-02	1.000e+00	-0.000	5.147
NR1I3	0.115	-0.028	3.047	2.539e-03	1.000e+00	-0.000	0.314	0.187	2.090	3.872e-02	1.000e+00	-0.000	5.137
MEF2A	0.161	-0.009	2.023	4.430e-02	1.000e+00	-0.000	0.322	0.055	3.076	2.553e-03	1.000e+00	-0.000	5.099
ETS2	0.008	-0.174	1.818	7.024e-02	1.000e+00	-0.000	0.297	-0.127	3.264	1.426e-03	8.942e-01	0.049	5.082
GATA3	0.236	0.007	2.608	9.573e-03	1.000e+00	-0.000	0.180	-0.140	2.467	1.507e-02	1.000e+00	-0.000	5.075
ATF2	0.250	-0.103	3.323	1.026e-03	6.434e-01	0.192	0.003	-0.230	1.723	8.757e-02	1.000e+00	-0.000	5.046
