TF	TFAs Ave.(E)	TFAs Ave.(IE)	TTS	p_val	FDR	negLog10_FDR
CEBPD	-0.23917574643542197	-0.10996951989787894	-1.1876244716129223	0.2370322329579182	1.0	-0.0
PCGF2	-0.04451444987605104	0.03271162180428902	-1.1943137876397791	0.23423580025215204	1.0	-0.0
GATA2	-0.2118026652142134	-0.09238297288867574	-1.2029218862384374	0.231472957730704	1.0	-0.0
NR0B2	-0.3960879692404786	-0.25643698699088113	-1.2070883621821376	0.22970351587437837	1.0	-0.0
HDAC7	-0.07711963296398681	0.02762268724370629	-1.2168247350863302	0.2256930716948332	1.0	-0.0
MTA3	-0.06146668149353536	0.011030388180321073	-1.2220392564378948	0.22380645036245886	1.0	-0.0
NFE2L2	-0.029949928052893596	0.05123078704439237	-1.2294392113720338	0.22113277627163433	1.0	-0.0
SIX1	-0.1823917661266437	-0.04464071828449572	-1.2422731262295108	0.216561854089007	1.0	-0.0
GTF2I	-0.13717886659031092	-0.02999971280692924	-1.2435124170593086	0.21597944873470834	1.0	-0.0
CREG1	-0.0699071251764024	0.004063340476587388	-1.287832974771562	0.1998202358605992	1.0	-0.0
MYOG	-0.04107253970681521	0.013556878661921878	-1.297286775899886	0.19708598274613845	1.0	-0.0
RB1CC1	-0.15306721930300712	-0.08114975419304013	-1.2977007213872227	0.19695942787530665	1.0	-0.0
MTA1	-0.19848794203962986	-0.09199594978133761	-1.3058864177396823	0.19370989719183493	1.0	-0.0
CTCFL	-0.13289832487039016	0.01646443826241262	-1.332439252298483	0.1849034268250302	1.0	-0.0
NCOA6	-0.28309831506007005	-0.11768095770873711	-1.350477056426017	0.17952812118667197	1.0	-0.0
EAF1	-0.10267307211202546	-0.056915486175272555	-1.3561151888053868	0.17754036100452195	1.0	-0.0
ING1	-0.02269552313725625	0.10701655279415728	-1.3649914798978444	0.17459152773931094	1.0	-0.0
NR1H4	-0.3205709770447367	-0.16839254755872635	-1.3746145309711426	0.17187498969359127	1.0	-0.0
NR2C2	-0.035354343868954675	0.039199720967684856	-1.3984444355309473	0.1644679671204199	1.0	-0.0
TBX3	-0.1652099046867696	-0.0033233481500315296	-1.4356845731941372	0.1533973108859502	1.0	-0.0
TBX2	-0.1652099046867696	-0.0033233481500315296	-1.4356845731941372	0.1533973108859502	1.0	-0.0
DEAF1	-0.048163172139361096	0.00976332375484028	-1.438001527764872	0.15294735582182967	1.0	-0.0
TFAP2B	-0.2015163290618962	0.03496177594867927	-1.452353231444075	0.14894221650437972	1.0	-0.0
IRF2	-0.16505148930806643	-0.038737132624079997	-1.471302145151808	0.143511972859283	1.0	-0.0
SHOX	-0.1959760176149588	-0.046447574124457075	-1.5007466865175683	0.1360775090269163	1.0	-0.0
ZEB2	-0.30807852731575497	-0.1308472280090699	-1.542829730863441	0.12518351948417417	1.0	-0.0
SPIC	-0.13761184016104117	-0.07537351181660297	-1.5958833688192515	0.11268854566506221	1.0	-0.0
TWIST1	-0.2993987868424494	-0.10288271928725076	-1.6034469739936508	0.11164495454576455	1.0	-0.0
PBX2	-0.15083200818578413	0.04712932709432469	-1.6386955008554651	0.10357089125393806	1.0	-0.0
MKL1	-0.4954218213578122	-0.29127710392624856	-1.710438325110043	0.08951016091626948	1.0	-0.0
CIITA	-0.02686133354331089	0.16941234554033507	-1.7191758767824261	0.0880038979438658	1.0	-0.0
HNF4A	-0.25698594176355216	-0.06447347228505412	-1.7383971155333426	0.08473548166168628	1.0	-0.0
PER1	-0.11731999399279698	0.03765964235196906	-1.7645203288479767	0.08013520385337067	1.0	-0.0
MXD1	-0.15933611247956495	-0.07425946227755774	-1.77120342431965	0.07901193500795835	1.0	-0.0
ATF7	-0.2365629551814945	-0.11157764739680286	-1.8207695063755158	0.07084480458724118	1.0	-0.0
NFAT5	-0.15248085224395241	0.0991092248774316	-1.8806251584044553	0.06239406341532503	1.0	-0.0
VEZF1	-0.13629036064439248	-0.06196236081648765	-1.8935052037832505	0.060266815792972224	1.0	-0.0
SP7	-0.16357887339950947	-0.04764492587093764	-1.9220392447336396	0.05676475016345614	1.0	-0.0
NCOR1	0.15141309239968273	0.38919331439344174	-1.9290629090746063	0.05587163217266803	1.0	-0.0
ERCC2	-0.11509491795666144	0.058705988638249496	-1.9333307913790085	0.055264935064228714	1.0	-0.0
PGR	-0.05370500089253289	0.14777872734387285	-1.944949911148948	0.054474430575471855	1.0	-0.0
MEN1	-0.4195731561418049	-0.2317797840407453	-1.969743403970572	0.05103077386093811	1.0	-0.0
SND1	-0.23956174938670288	0.026285912577709264	-1.9821918525677251	0.04985751556946217	1.0	-0.0
EAPP	-0.05266398396634637	0.17647572227502273	-1.9841965911220285	0.049330924856855224	1.0	-0.0
SSB	-0.014827516511274678	0.16662996791515916	-2.0079406607849126	0.0466076111850128	1.0	-0.0
EHF	-0.37462655538683703	-0.10844818089309473	-2.017973928887668	0.045639336964110724	1.0	-0.0
MAML1	-0.09736402253293232	0.11024008671068661	-2.0608622410476625	0.04123833159299159	1.0	-0.0
TGIF1	-0.18302102598571093	-0.0021064939101702895	-2.0813024458199414	0.0392419447873354	1.0	-0.0
