LINE 225 : 2020-06-16 14:56:15,231 [DEBUG   ] Starting new HTTP connection (1): amp.pharm.mssm.edu:80
LINE 1271: 2020-06-16 14:56:18,911 [DEBUG   ] findfont: score(<Font 'Lucida Fax' (LFAXD.TTF) normal normal demibold normal>) = 10.24
LINE 1271: 2020-06-16 14:56:18,911 [DEBUG   ] findfont: score(<Font 'Brush Script MT' (BRUSHSCI.TTF) italic normal 400 normal>) = 11.05
LINE 1271: 2020-06-16 14:56:18,911 [DEBUG   ] findfont: score(<Font 'Pristina' (PRISTINA.TTF) normal normal 400 normal>) = 10.05
LINE 1271: 2020-06-16 14:56:18,911 [DEBUG   ] findfont: score(<Font 'Lucida Fax' (LFAX.TTF) normal normal regular normal>) = 10.05
LINE 1271: 2020-06-16 14:56:18,911 [DEBUG   ] findfont: score(<Font 'Segoe UI' (segoeuisl.ttf) normal normal light normal>) = 10.24
LINE 1271: 2020-06-16 14:56:18,911 [DEBUG   ] findfont: score(<Font 'Juice ITC' (JUICE___.TTF) normal normal 400 normal>) = 10.05
LINE 1271: 2020-06-16 14:56:18,912 [DEBUG   ] findfont: score(<Font 'Microsoft PhagsPa' (phagspab.ttf) normal normal bold normal>) = 10.335
LINE 1271: 2020-06-16 14:56:18,912 [DEBUG   ] findfont: score(<Font 'Comic Sans MS' (comicz.ttf) italic normal bold normal>) = 11.335
LINE 1271: 2020-06-16 14:56:18,912 [DEBUG   ] findfont: score(<Font 'Leelawadee UI' (LeelawUI.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2020-06-16 14:56:18,912 [DEBUG   ] findfont: score(<Font 'MBatang' (MT.TTF) normal normal 400 normal>) = 10.05
LINE 1271: 2020-06-16 14:56:18,912 [DEBUG   ] findfont: score(<Font 'Yu Gothic' (YuGothB.ttc) normal normal bold normal>) = 10.335
LINE 1271: 2020-06-16 14:56:18,912 [DEBUG   ] findfont: score(<Font 'Arial' (ARIALNBI.TTF) italic normal bold condensed>) = 7.8986363636363635
LINE 1271: 2020-06-16 14:56:18,912 [DEBUG   ] findfont: score(<Font 'Segoe UI' (seguili.ttf) italic normal light normal>) = 11.24
LINE 1271: 2020-06-16 14:56:18,912 [DEBUG   ] findfont: score(<Font 'Microsoft Tai Le' (taileb.ttf) normal normal bold normal>) = 10.335
LINE 1271: 2020-06-16 14:56:18,912 [DEBUG   ] findfont: score(<Font 'Bodoni MT' (BOD_CR.TTF) normal normal 400 condensed>) = 10.25
LINE 1271: 2020-06-16 14:56:18,912 [DEBUG   ] findfont: score(<Font 'Book Antiqua' (ANTQUABI.TTF) italic normal book normal>) = 11.05
LINE 1271: 2020-06-16 14:56:18,912 [DEBUG   ] findfont: score(<Font 'Segoe UI' (segoeuil.ttf) normal normal light normal>) = 10.24
